name,brandName,ratingScore,price,processor,ram,memory,displaySize,gen
asus tuf gaming,ASUS,0.0,229900.0,i7,6gb,1 tb,"15.6""",
asus tuf dash,ASUS,0.0,119999.0,intel,8gb,512gb,"15.6""",11th
hp laptop 15s,HP,0.0,135000.0,i7,8 gb,512 gb,,
hp pavilion laptop,HP,0.0,143000.0,i7,8 gb,512 gb,,
acer a31435 intel,No Brand,0.0,50900.0,intel,4gb,,,
dell latitude 3410,Dell,0.0,79999.0,i5,4gb,1tb,"14""",10th
dell latitude 3390,Dell,5.0,45000.0,other,8gb,128gb,2.3,
lenovo ideapad 3i,Lenovo IdeaPad,0.0,52000.0,intel,4gb,128gb,"15.6""",11th
hp victus 15,HP,0.0,125000.0,intel,8 gb,512 gb,,12th
acer aspire 3,Acer,0.0,90200.0,i5,8 gb,256 gb,15.6,12 gen
